Question,Answer
What is PCA (Principal Component Analysis)?,PCA is a dimensionality reduction technique used to reduce the number of variables in a dataset while preserving as much variance as possible.
What is a Decision Tree?,A Decision Tree is a supervised learning algorithm that splits data into subsets based on feature values to make decisions or predictions.
What is Overfitting in a Decision Tree?,"Overfitting in a Decision Tree occurs when the tree becomes too complex, fitting the training data too closely and losing its ability to generalize to new data."
What is Pruning in Decision Trees?,"Pruning is the process of removing parts of a decision tree that do not provide significant predictive power, helping to prevent overfitting."
What is a Random Forest?,A Random Forest is an ensemble method that combines multiple decision trees to improve classification accuracy and reduce overfitting.
What is Gradient Boosting?,"Gradient Boosting is an ensemble technique that builds models sequentially, with each new model correcting the errors of the previous one."
What is XGBoost?,"XGBoost is an optimized implementation of gradient boosting, designed for speed and performance in machine learning tasks, often used in competitions."
What is Feature Engineering?,"Feature Engineering is the process of selecting, modifying, or creating new features from raw data to improve the performance of machine learning models."
What is Feature Scaling?,"Feature Scaling is the process of normalizing or standardizing features to ensure they contribute equally to the model, preventing one feature from dominating due to differences in scale."
What is the Curse of Dimensionality?,"The Curse of Dimensionality refers to the challenges associated with high-dimensional data, where the feature space becomes sparse and algorithms may struggle to find meaningful patterns."
What is a Confusion Matrix?,"A Confusion Matrix is a table that summarizes the performance of a classification algorithm, showing the true positives, false positives, true negatives, and false negatives."
What is Precision?,"Precision is the ratio of true positives to the sum of true positives and false positives, indicating how many of the predicted positive instances were actually positive."
What is Recall?,"Recall is the ratio of true positives to the sum of true positives and false negatives, indicating how many of the actual positive instances were correctly identified."
What is the F1 Score?,"The F1 Score is the harmonic mean of precision and recall, providing a single metric that balances both concerns, particularly useful in imbalanced datasets."
What is a ROC Curve?,A ROC Curve (Receiver Operating Characteristic Curve) is a graphical representation of the trade-off between the true positive rate and the false positive rate across different thresholds.
What is AUC (Area Under the Curve)?,"AUC is the area under the ROC Curve, representing the model's ability to distinguish between classes, with higher values indicating better performance."
What is a Naive Bayes Classifier?,"A Naive Bayes Classifier is a probabilistic model based on Bayes' Theorem, assuming independence between features, often used for text classification tasks."
What is K-Means Clustering?,K-Means Clustering is an unsupervised learning algorithm that partitions data into k clusters by minimizing the sum of squared distances between data points and their cluster centroids.
What is Hierarchical Clustering?,"Hierarchical Clustering is an unsupervised algorithm that builds a tree of clusters, where each level of the tree represents a finer level of clustering."
What is a Decision Boundary?,"A Decision Boundary is the boundary that separates different classes in a classification problem, created by the model based on the input features."
What is the Bias-Variance Tradeoff?,"The Bias-Variance Tradeoff refers to the balance between a model's bias (error due to overly simplistic assumptions) and variance (error due to sensitivity to training data), affecting its generalization ability."
What is Data Augmentation?,"Data Augmentation is the process of creating new data from the existing dataset by applying transformations such as rotations, translations, and flips, often used in image processing."
What is Self-Supervised Learning?,"Self-Supervised Learning is a type of unsupervised learning where the model generates its own labels from the input data, often used in tasks like representation learning."
What is a Pretrained Model?,"A Pretrained Model is a model that has been trained on a large dataset and can be fine-tuned for specific tasks, saving time and computational resources."
What is Transfer Learning?,"Transfer Learning involves using a model trained on one task and fine-tuning it for a related but different task, leveraging knowledge from the first task to improve performance on the second."
What is a Batch Size in Machine Learning?,Batch Size refers to the number of training examples used in one iteration of training before the model's weights are updated.
What is an Epoch in Machine Learning?,"An Epoch is one complete cycle through the entire training dataset. During each epoch, the model is trained on the dataset and updated accordingly."
What is the Adam Optimizer?,"Adam (Adaptive Moment Estimation) is an optimization algorithm that combines the advantages of both the AdaGrad and RMSProp algorithms, adjusting the learning rate based on the first and second moments of the gradients."
What is the Learning Rate in Machine Learning?,"The Learning Rate is a hyperparameter that controls the step size during the gradient descent optimization process, affecting how quickly a model learns."
What is Early Stopping?,"Early Stopping is a regularization technique where training is halted if the model's performance on the validation set stops improving, helping to prevent overfitting."
What is the ReLU Activation Function?,"The ReLU (Rectified Linear Unit) activation function outputs the input directly if it is positive, otherwise, it outputs zero, commonly used in neural networks for its simplicity and efficiency."
What is the Sigmoid Activation Function?,"The Sigmoid Activation Function squashes input values to the range between 0 and 1, often used for binary classification problems."
What is the Tanh Activation Function?,"The Tanh (Hyperbolic Tangent) activation function squashes input values to the range between -1 and 1, similar to sigmoid but with a wider range of output."
What is the Softmax Activation Function?,The Softmax Activation Function is used in multi-class classification problems to convert raw output scores into probabilities by normalizing the exponentials of the scores.
What is an Autoencoder?,An Autoencoder is a neural network used for unsupervised learning that learns to compress data into a lower-dimensional representation and then reconstruct it back to the original form.
What is a Generative Adversarial Network (GAN)?,"A Generative Adversarial Network consists of two neural networks, a generator and a discriminator, that work against each other to generate new, realistic data."
What is Backpropagation?,Backpropagation is an algorithm used to train neural networks by calculating the gradient of the loss function with respect to each weight and adjusting the weights accordingly.
What is a Latent Variable?,"A Latent Variable is an unobserved variable that is inferred from observed data, often used in models like autoencoders or generative models."
What is Data Normalization?,"Data Normalization is the process of scaling data features to have a mean of 0 and a standard deviation of 1, often improving the convergence of machine learning models."
What is a Hyperparameter Tuning?,"Hyperparameter Tuning is the process of searching for the optimal hyperparameters for a machine learning model, often done through grid search or random search."
What is a One-Hot Encoding?,"One-Hot Encoding is a technique used to represent categorical variables as binary vectors, where each category is converted into a vector with a single 1 and the rest 0s."
What is the Elbow Method in Clustering?,The Elbow Method is a technique used to determine the optimal number of clusters in K-Means clustering by plotting the sum of squared distances from each point to its assigned cluster centroid.
What is the Silhouette Score?,"The Silhouette Score is a metric that measures how similar each point is to its own cluster compared to other clusters, used to evaluate the quality of clustering results."
What is Dimensionality Reduction?,"Dimensionality Reduction is the process of reducing the number of features in a dataset while retaining as much information as possible, commonly achieved through methods like PCA or t-SNE."
What is t-SNE (t-Distributed Stochastic Neighbor Embedding)?,"t-SNE is a technique for dimensionality reduction that is particularly useful for visualizing high-dimensional data in 2D or 3D, by preserving local relationships between data points."
What is the Naive Bayes Classifier based on?,"The Naive Bayes Classifier is based on Bayes' Theorem, assuming independence between features, and it computes the probability of each class given the input features."
What is a Gaussian Naive Bayes?,"Gaussian Naive Bayes is a variant of Naive Bayes that assumes the features follow a Gaussian distribution, often used when the features are continuous."
What is Laplace Smoothing in Naive Bayes?,Laplace Smoothing is a technique used in Naive Bayes to handle zero probability by adding a small constant to the count of each feature.
What is a Kernel Trick?,"The Kernel Trick is a technique used in machine learning algorithms like SVM to transform the input data into higher dimensions, allowing for nonlinear decision boundaries."
What is the Manhattan Distance?,The Manhattan Distance (or L1 norm) is the sum of the absolute differences between corresponding elements of two points in a space.
What is the Euclidean Distance?,"The Euclidean Distance is the straight-line distance between two points in a Euclidean space, commonly used to measure similarity in clustering and classification tasks."
What is the Minkowski Distance?,"The Minkowski Distance is a generalization of both Euclidean and Manhattan distance, using a parameter p to define the type of distance."
What is a Gaussian Mixture Model?,A Gaussian Mixture Model is a probabilistic model that assumes that the data is generated from a mixture of several Gaussian distributions.
What is the Expectation-Maximization (EM) Algorithm?,The Expectation-Maximization algorithm is an iterative method for finding maximum likelihood estimates of parameters in statistical models with latent variables.
What is an LSTM (Long Short-Term Memory)?,LSTM is a type of Recurrent Neural Network (RNN) designed to better capture long-range dependencies by using special gating mechanisms.
What is an Attention Mechanism?,"An Attention Mechanism allows a model to focus on specific parts of the input when making predictions, particularly useful in sequence-to-sequence tasks like translation."
What is a Transformer Model?,"A Transformer Model is a deep learning model architecture that uses attention mechanisms to process sequences of data in parallel, replacing RNNs in tasks like natural language processing."
What is BERT (Bidirectional Encoder Representations from Transformers)?,"BERT is a pre-trained transformer-based model that uses bidirectional context to better understand the meaning of words in a sentence, especially for NLP tasks."
What is GPT (Generative Pretrained Transformer)?,"GPT is a transformer-based model that uses a generative approach to predict the next word in a sequence, often used in language generation and NLP applications."
What is the Difference between BERT and GPT?,"BERT is bidirectional, meaning it looks at both the left and right context, while GPT is unidirectional, looking only at the past context."
What is a Reinforcement Learning Agent?,"A Reinforcement Learning Agent is a decision-maker that interacts with an environment, learning optimal actions based on rewards or penalties."
What is Q-Learning?,"Q-Learning is a model-free reinforcement learning algorithm that learns the value of actions in states, allowing an agent to learn optimal policies."
What is SARSA (State-Action-Reward-State-Action)?,"SARSA is an on-policy reinforcement learning algorithm that updates the Q-values based on the action actually taken, rather than the optimal action."
What is a Markov Decision Process (MDP)?,"A Markov Decision Process is a mathematical framework for modeling decision-making, where outcomes are partly random and partly under the control of the agent."
What is the Bellman Equation?,The Bellman Equation is a recursive formula used in dynamic programming and reinforcement learning to compute the value of a decision problem.
What is the Difference between Model-Free and Model-Based RL?,"Model-Free Reinforcement Learning learns the optimal policy directly from experience, while Model-Based RL involves learning a model of the environment and using it to plan actions."
What is a Policy in Reinforcement Learning?,A Policy is a strategy used by the reinforcement learning agent to determine the next action based on the current state.
What is the Exploration-Exploitation Trade-Off?,The Exploration-Exploitation Trade-Off is the dilemma faced by an RL agent of whether to explore new actions or exploit known actions that lead to higher rewards.
What is a Monte Carlo Method in RL?,The Monte Carlo Method in reinforcement learning is a model-free approach that estimates the value of states or actions based on averaging returns from episodes of interaction.
What is Temporal Difference Learning (TD)?,"Temporal Difference Learning is a reinforcement learning method that updates estimates based on new information before an episode ends, combining aspects of Monte Carlo and Dynamic Programming methods."
What is the Advantage Function in RL?,"The Advantage Function is the difference between the action-value function and the value function, used to reduce the variance of policy gradient methods."
What is Proximal Policy Optimization (PPO)?,PPO is a reinforcement learning algorithm that improves the stability and reliability of policy updates by using a clipped objective function.
What is a Deep Q-Network (DQN)?,"A Deep Q-Network is a reinforcement learning model that uses deep learning to approximate the Q-function, enabling it to handle high-dimensional state spaces."
What is a Convolutional Neural Network (CNN)?,"A Convolutional Neural Network is a type of neural network designed for processing grid-like data, such as images, using convolutional layers to detect spatial hierarchies."
What is a Pooling Layer?,"A Pooling Layer is a layer in a CNN that reduces the spatial dimensions of the input while retaining important features, typically through max pooling or average pooling."
What is a Fully Connected Layer?,"A Fully Connected Layer is a layer where each input is connected to every neuron in the layer, often used at the end of CNNs for classification tasks."
What is an Overfitting Problem in Machine Learning?,"Overfitting occurs when a model learns the details of the training data too well, leading to poor generalization on unseen data."
What is Regularization in Machine Learning?,"Regularization is a technique used to prevent overfitting by adding a penalty term to the loss function, such as L1 or L2 regularization."
What is L1 Regularization?,"L1 Regularization adds a penalty proportional to the absolute value of the weights, encouraging sparsity in the model."
What is L2 Regularization?,"L2 Regularization adds a penalty proportional to the square of the weights, encouraging smaller weights and helping to prevent overfitting."
What is Overfitting in Machine Learning?,"Overfitting occurs when a model learns the details of the training data too well, leading to poor performance on new, unseen data due to its inability to generalize."
What is Underfitting in Machine Learning?,"Underfitting happens when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and test data."
What is Cross-Validation?,Cross-Validation is a technique for evaluating a machine learning model by splitting the data into several subsets and training the model multiple times on different subsets to assess its generalizability.
What is K-Fold Cross-Validation?,"K-Fold Cross-Validation is a type of cross-validation where the dataset is divided into K equal subsets, and the model is trained and evaluated K times, each time using a different subset as the test set."
What is Leave-One-Out Cross-Validation (LOOCV)?,"Leave-One-Out Cross-Validation is a special case of K-fold cross-validation where K is equal to the total number of data points, with each point serving as the test set once."
What is Stratified Sampling?,"Stratified Sampling is a technique where the population is divided into subgroups (strata) based on a characteristic, and then samples are drawn from each subgroup to ensure each stratum is represented proportionally."
What is Feature Engineering?,Feature Engineering is the process of using domain knowledge to create new features or modify existing ones to improve the performance of machine learning models.
What is Feature Selection?,"Feature Selection is the process of selecting a subset of relevant features for use in model training, reducing the complexity and improving model performance."
What is Feature Scaling?,"Feature Scaling is the process of normalizing or standardizing features so they have similar ranges or distributions, helping to improve the performance and convergence of machine learning algorithms."
What is PCA (Principal Component Analysis)?,"PCA is a dimensionality reduction technique that transforms the data into a set of linearly uncorrelated variables called principal components, retaining the maximum variance in the data."
What is t-SNE (t-Distributed Stochastic Neighbor Embedding)?,"t-SNE is a technique for dimensionality reduction that is particularly useful for visualizing high-dimensional data in 2D or 3D, preserving local data structures."
What is a Confusion Matrix?,"A Confusion Matrix is a table used to evaluate the performance of classification algorithms by comparing the predicted labels to the true labels, showing the number of true positives, false positives, true negatives, and false negatives."
What is Precision in Classification?,"Precision is a metric used to evaluate classification performance, defined as the ratio of true positive predictions to the total number of positive predictions made."
What is Recall in Classification?,"Recall is a metric that measures the ability of a classifier to identify all relevant instances, defined as the ratio of true positive predictions to the total number of actual positive instances."
What is F1-Score?,"The F1-Score is the harmonic mean of precision and recall, providing a balanced evaluation metric when there is an uneven class distribution."
What is Accuracy in Classification?,"Accuracy is the proportion of correct predictions made by a classifier, calculated as the ratio of correct predictions to the total number of instances."
What is ROC Curve?,"The ROC (Receiver Operating Characteristic) Curve is a graphical representation of a classifier's performance, plotting the true positive rate against the false positive rate."
What is the AUC (Area Under the Curve)?,"AUC is the area under the ROC curve, which quantifies the overall ability of a classifier to discriminate between classes. A higher AUC indicates better performance."
What is a Precision-Recall Curve?,"A Precision-Recall Curve is a plot of precision versus recall for different thresholds, often used for imbalanced datasets where the positive class is of more interest."
What is the Gini Index?,"The Gini Index is a measure of impurity or purity used in decision trees to evaluate the best split at each node, with lower values indicating better splits."
What is Information Gain?,"Information Gain is a metric used in decision trees to evaluate the effectiveness of a feature in reducing uncertainty, calculated as the difference between the entropy before and after a split."
What is Entropy in Decision Trees?,"Entropy is a measure of disorder or impurity in a dataset, used to determine how well a feature splits the data in decision tree learning."
What is the Decision Tree Algorithm?,"The Decision Tree Algorithm is a machine learning algorithm that models data using a tree-like structure of decisions, with each node representing a feature and each branch representing a decision."
What is a Random Forest?,A Random Forest is an ensemble learning method that builds multiple decision trees and combines their outputs to improve classification accuracy and reduce overfitting.
What is Boosting in Machine Learning?,Boosting is an ensemble technique that combines weak learners (usually decision trees) by iteratively adjusting the weights of misclassified instances to improve model performance.
What is Gradient Boosting?,"Gradient Boosting is a boosting technique where models are trained sequentially, with each model correcting the errors made by the previous model, using gradient descent to minimize the loss."
What is AdaBoost?,"AdaBoost (Adaptive Boosting) is a boosting algorithm that combines weak learners by giving more weight to the misclassified instances in each round, improving the model's accuracy."
What is XGBoost?,"XGBoost (Extreme Gradient Boosting) is an optimized gradient boosting algorithm that is highly efficient, scalable, and widely used in machine learning competitions for its high performance."
What is a Support Vector Machine (SVM)?,A Support Vector Machine is a supervised learning algorithm used for classification and regression that finds the hyperplane that best separates different classes in high-dimensional space.
What is the Kernel Trick in SVM?,"The Kernel Trick is a method used in SVM to transform the input data into higher-dimensional space, allowing the algorithm to find nonlinear decision boundaries."
What is Linear SVM?,Linear SVM is a variant of the Support Vector Machine algorithm that assumes a linear relationship between features and aims to find the hyperplane that best separates the data.
What is Non-Linear SVM?,Non-Linear SVM is a variant of SVM that uses the kernel trick to transform data into higher-dimensional space and find nonlinear decision boundaries.
What is a Hyperplane in SVM?,"A Hyperplane is a decision boundary that separates different classes in SVM, and the goal is to maximize the margin between the hyperplane and the closest points from each class."
What is the Margin in SVM?,"The Margin is the distance between the hyperplane and the closest data points from each class, and SVM aims to maximize this margin to improve classification performance."
What is the Naive Bayes Algorithm?,"The Naive Bayes Algorithm is a classification technique based on Bayes' theorem, assuming that the features are independent given the class, and is widely used for text classification tasks."
What is a Bayesian Network?,A Bayesian Network is a probabilistic graphical model that represents a set of variables and their conditional dependencies through a directed acyclic graph.
What is an Hidden Markov Model (HMM)?,"An Hidden Markov Model is a statistical model that represents a system that transitions between a set of hidden states, with observations depending on the current state."
What is a Markov Chain?,"A Markov Chain is a sequence of random variables where the future state depends only on the current state, not on the sequence of events that preceded it."
What is the Viterbi Algorithm?,The Viterbi Algorithm is a dynamic programming algorithm used for finding the most likely sequence of hidden states in a Hidden Markov Model.
What is a Recurrent Neural Network (RNN)?,A Recurrent Neural Network is a type of neural network designed to handle sequential data by maintaining hidden states that capture information from previous time steps.
What is an LSTM (Long Short-Term Memory)?,LSTM is a type of RNN designed to address the vanishing gradient problem by using memory cells to store and update information over long sequences.
What is a GRU (Gated Recurrent Unit)?,"A GRU is a type of RNN similar to LSTM, but with a simpler structure that combines the forget and input gates into a single update gate to improve efficiency."
What is Attention Mechanism?,"Attention Mechanism is a technique used in neural networks, particularly in sequence models, to allow the model to focus on specific parts of the input when making predictions."
What is the Transformer Model?,"The Transformer Model is a neural network architecture that uses self-attention mechanisms to process sequences in parallel, achieving state-of-the-art performance in natural language processing tasks."
What is the Encoder-Decoder Architecture?,"The Encoder-Decoder Architecture is a model structure used in sequence-to-sequence tasks, where the encoder processes the input sequence and the decoder generates the output sequence."
What is BERT (Bidirectional Encoder Representations from Transformers)?,"BERT is a pre-trained language model that uses the Transformer architecture to generate context-sensitive word representations, improving performance on a wide range of natural language understanding tasks."
What is GPT (Generative Pretrained Transformer)?,"GPT is a generative language model based on the Transformer architecture, trained to predict the next word in a sentence, which can be fine-tuned for various natural language processing tasks."
What is Reinforcement Learning with Human Feedback (RLHF)?,RLHF is a technique where reinforcement learning models are trained using human feedback to guide the learning process and improve the model's alignment with human preferences.
What is Self-Supervised Learning?,"Self-Supervised Learning is a type of unsupervised learning where the model generates labels from the data itself, such as predicting the next word in a sentence or filling in missing data."
What is Contrastive Learning?,"Contrastive Learning is a method where the model learns to differentiate between similar and dissimilar data points, often used in unsupervised learning to learn representations."
What is Semi-Supervised Learning?,Semi-Supervised Learning is a machine learning approach that uses a small amount of labeled data and a large amount of unlabeled data to improve learning accuracy.
What is Unsupervised Learning?,"Unsupervised Learning is a type of machine learning where the model is trained on unlabeled data, aiming to identify patterns or groupings within the data without explicit labels."
What is Supervised Learning?,"Supervised Learning is a machine learning technique where the model is trained on labeled data, learning to map inputs to the correct output based on the provided labels."
What is Clustering in Machine Learning?,Clustering is a type of unsupervised learning where the goal is to group similar data points together based on certain features or similarity measures.
What is K-Means Clustering?,K-Means Clustering is an unsupervised learning algorithm that partitions data into K clusters by minimizing the sum of squared distances between each point and the centroid of its cluster.
What is Hierarchical Clustering?,Hierarchical Clustering is a clustering algorithm that builds a hierarchy of clusters by either iteratively merging or splitting them based on similarity.
What is DBSCAN (Density-Based Spatial Clustering of Applications with Noise)?,"DBSCAN is a clustering algorithm that groups together points that are closely packed, marking points that lie alone as outliers, and does not require specifying the number of clusters in advance."
What is Dimensionality Reduction?,"Dimensionality Reduction is the process of reducing the number of input features in a dataset while preserving its essential information, often used to improve model performance and reduce overfitting."
What is Autoencoder?,An Autoencoder is a type of neural network used for unsupervised learning that learns to encode data into a lower-dimensional representation and then reconstruct it back to the original input.
What is an Encoder-Decoder Model?,"An Encoder-Decoder Model is a type of architecture used in sequence-to-sequence tasks, where the encoder encodes the input data into a fixed-size representation and the decoder decodes it into the output sequence."
What is Generative Adversarial Network (GAN)?,"A GAN is a class of neural networks consisting of two models: a generator that creates synthetic data and a discriminator that evaluates the authenticity of the generated data, often used for image generation."
What is a Generator in GAN?,The Generator in a GAN is a neural network that generates fake data (such as images) in an attempt to fool the discriminator into classifying it as real.
What is a Discriminator in GAN?,The Discriminator in a GAN is a neural network that evaluates whether a given data point is real (from the actual dataset) or fake (generated by the generator).
What is Style Transfer?,"Style Transfer is a technique in deep learning where the style of one image is applied to the content of another image, often used for artistic effects in computer vision."
What is Transfer Learning?,"Transfer Learning is the process of leveraging a pre-trained model on one task and fine-tuning it for a different but related task, significantly reducing the need for large amounts of data."
What is Fine-Tuning in Transfer Learning?,Fine-Tuning in Transfer Learning is the process of adjusting the weights of a pre-trained model on a new dataset to adapt it to a specific task.
What is the VGG Net?,"VGG Net is a deep convolutional neural network architecture known for its simplicity, using very small (3x3) convolution filters and deep layers to achieve high performance in image classification."
What is ResNet (Residual Network)?,"ResNet is a deep neural network architecture that uses residual blocks, allowing gradients to flow more easily through the network during training, thus enabling training of very deep networks."
What is Inception Network?,The Inception Network is a deep convolutional network architecture that uses multiple filter sizes within the same layer to capture different types of information in the input data.
What is the U-Net Architecture?,"U-Net is a convolutional neural network architecture primarily used for image segmentation tasks, featuring a U-shaped structure with an encoder-decoder design."
What is a ReLU (Rectified Linear Unit)?,"ReLU is a popular activation function in neural networks that outputs the input value if positive, and zero otherwise, helping to mitigate the vanishing gradient problem."
What is the Sigmoid Activation Function?,"The Sigmoid Activation Function maps the input to a range between 0 and 1, often used in binary classification problems as an output activation function."
What is the Tanh Activation Function?,"The Tanh Activation Function maps the input to a range between -1 and 1, often used in hidden layers of neural networks."
What is the Softmax Activation Function?,"Softmax is an activation function often used in the output layer of multi-class classification problems, converting logits into probabilities."
What is Batch Normalization?,"Batch Normalization is a technique used to normalize the inputs of each layer in a neural network, improving training stability and convergence speed by reducing internal covariate shift."
What is Dropout in Neural Networks?,"Dropout is a regularization technique where randomly selected neurons are ignored during training, preventing overfitting by reducing reliance on specific features."
What is Early Stopping?,"Early Stopping is a regularization technique used during training to stop the process once the model's performance on the validation set begins to degrade, preventing overfitting."
What is a Neural Network?,"A Neural Network is a computational model inspired by biological neural networks, consisting of layers of nodes (neurons) that process and learn from data."
What is a Perceptron?,"A Perceptron is a type of artificial neuron and the simplest form of a neural network, used for binary classification tasks by learning weights through training."
What is Backpropagation?,Backpropagation is a supervised learning algorithm used to train neural networks by calculating the gradient of the loss function and propagating the error back through the network to update weights.
What is Stochastic Gradient Descent (SGD)?,"Stochastic Gradient Descent is an optimization algorithm used in training machine learning models, where the model's weights are updated using the gradient of the loss function based on a randomly selected data point."
What is Mini-Batch Gradient Descent?,"Mini-Batch Gradient Descent is an optimization algorithm that updates model weights using a subset of the training data (mini-batch) at each iteration, balancing between the efficiency of batch gradient descent and the speed of SGD."
What is Adam Optimizer?,"Adam (Adaptive Moment Estimation) is an optimization algorithm that combines the advantages of both SGD with momentum and RMSprop, adapting the learning rate for each parameter."
What is Momentum in Gradient Descent?,"Momentum is an optimization technique that helps accelerate gradient descent by adding a fraction of the previous weight update to the current update, smoothing out the optimization path."
What is the Learning Rate in Optimization?,"The Learning Rate is a hyperparameter that controls the step size in gradient descent, determining how quickly the model's weights are updated during training."
What is the Vanishing Gradient Problem?,"The Vanishing Gradient Problem occurs when the gradients of the loss function become very small, causing the network weights to stop updating, typically in deep neural networks with activation functions like sigmoid or tanh."
What is the Exploding Gradient Problem?,"The Exploding Gradient Problem occurs when the gradients of the loss function become very large, causing the network weights to grow exponentially and leading to unstable training."
What is the Bias-Variance Trade-Off?,"The Bias-Variance Trade-Off is the balance between model complexity and generalization, where high bias leads to underfitting and high variance leads to overfitting."
What is a Hyperparameter in Machine Learning?,"A Hyperparameter is a parameter that is set before the learning process begins, such as learning rate, batch size, or the number of layers in a neural network."
What is Grid Search in Hyperparameter Tuning?,Grid Search is a hyperparameter tuning technique that systematically searches through a predefined set of hyperparameters to find the best combination for a model.
What is Random Search in Hyperparameter Tuning?,"Random Search is a hyperparameter tuning technique where random combinations of hyperparameters are selected and evaluated, often leading to faster results than grid search."
What is Cross-Validation?,"Cross-Validation is a model validation technique where the dataset is divided into multiple subsets, and the model is trained and validated on different subsets to ensure robustness and avoid overfitting."
What is K-Fold Cross-Validation?,"K-Fold Cross-Validation is a cross-validation technique where the dataset is split into K subsets (folds), and the model is trained K times, each time using a different fold for validation and the remaining folds for training."
What is Precision in Machine Learning?,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions made by the model, used to evaluate classification performance."
What is Recall in Machine Learning?,"Recall is a metric that measures the proportion of true positive predictions out of all actual positive instances in the dataset, used to evaluate classification performance."
What is F1-Score?,"F1-Score is the harmonic mean of precision and recall, providing a single metric that balances the two for classification tasks."
What is ROC Curve?,The ROC Curve (Receiver Operating Characteristic Curve) is a graphical representation of the trade-off between the true positive rate and false positive rate for different classification thresholds.
What is AUC (Area Under the Curve)?,"AUC is a metric that measures the area under the ROC curve, providing a single value to evaluate the overall performance of a binary classification model."
What is Overfitting in Machine Learning?,"Overfitting occurs when a model learns the noise in the training data instead of generalizable patterns, leading to poor performance on unseen data."
What is Underfitting in Machine Learning?,"Underfitting occurs when a model is too simple to capture the underlying patterns in the training data, leading to poor performance on both training and unseen data."
What is Cross-Entropy Loss?,"Cross-Entropy Loss is a loss function commonly used in classification tasks, particularly binary and multi-class classification, measuring the difference between the predicted probability distribution and the true distribution."
What is Mean Squared Error (MSE)?,"Mean Squared Error is a loss function used in regression tasks, calculating the average of the squared differences between predicted values and actual values."
What is Hinge Loss?,"Hinge Loss is a loss function used in support vector machines for classification tasks, encouraging a margin between classes and penalizing misclassifications."
What is the Difference Between L1 and L2 Regularization?,"L1 regularization adds the absolute values of the coefficients as a penalty term, leading to sparse solutions, while L2 regularization adds the squared values, promoting smaller coefficient values without eliminating them."
What is Early Stopping in Machine Learning?,Early Stopping is a regularization technique used to prevent overfitting by halting training when the model's performance on the validation set starts to degrade.
What is the K-Nearest Neighbors (KNN) Algorithm?,"K-Nearest Neighbors is a simple, non-parametric algorithm used for classification and regression tasks, where the output is determined by the majority class or average of the nearest K neighbors in the feature space."
What is the Naive Bayes Classifier?,"The Naive Bayes Classifier is a probabilistic machine learning algorithm based on Bayes' theorem, assuming independence between features and used primarily for text classification tasks."
What is Support Vector Machine (SVM)?,"A Support Vector Machine is a supervised learning model used for classification tasks, aiming to find the hyperplane that maximally separates different classes in the feature space."
What is the Decision Tree Algorithm?,"A Decision Tree is a supervised learning algorithm that models decisions and their possible consequences, including the choice of actions and outcomes, using a tree-like structure."
